,Directory,ExperimentID,ExperimentID_full,ID,Setup,c0,cf,n10,n1f,n20,n2f,path,v0,vf,dropID,Medium,ExperimentID_Init,SteadyState,Comments,mind,dev_cf
1,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,25,MIS2,0.1,0.118308285,,,16,16,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_01_concentration.csv,1301.345956,1099.961812,1,0.20%,E3,N,,16.01,-18.95812675
2,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,26,MIS2,0.2,0.182147052,16,16,24,24,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_02_concentration.csv,1079.608857,1178.063327,2,0.20%,E3,N,,16.01,24.7718053
3,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,27,MIS2,0.1,0.109082524,24,24,19,19,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_03_concentration.csv,1536.742495,1404.693434,3,0.20%,E3,N,,19.01,-25.27782747
4,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,28,MIS2,0.2,0.180107917,19,19,17,17,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_04_concentration.csv,976.9459492,1079.875623,4,0.20%,E3,N,,17.01,23.37498579
5,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,29,MIS2,0.1,0.106610205,17,17,19,19,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_05_concentration.csv,1551.908707,1455.691838,5,0.20%,E3,N,,17.01,-26.97138057
6,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,30,MIS2,0.2,0.182786278,19,19,18,18,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_06_concentration.csv,1021.597127,1117.813996,6,0.20%,E3,N,,18.01,25.20967888
7,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,31,MIS2,0.1,0.10678815,18,18,20,20,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_07_concentration.csv,1511.514596,1417.535328,7,0.20%,E3,N,,18.01,-26.84948719
8,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,32,MIS2,0.2,0.179857494,20,20,19,19,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_08_concentration.csv,967.9955427,1066.450013,8,0.20%,E3,N,,19.01,23.20344456
9,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,33,MIS2,0.1,0.106948941,19,19,20,20,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_09_concentration.csv,1545.244531,1449.027662,9,0.20%,E3,N,,19.01,-26.73934441
10,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,34,MIS2,0.2,0.181915647,20,20,19,18,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_10_concentration.csv,990.2887664,1088.743237,10,0.20%,E3,N,,18.01,24.61329151
11,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,35,MIS2,0.1,0.107783821,19,18,18,18,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_11_concentration.csv,1296.870753,1207.366689,11,0.20%,E3,N,,18.01,-26.16744668
12,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,36,MIS2,0.2,0.180197121,18,18,19,21,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_12_concentration.csv,961.3632419,1062.055314,12,0.20%,E3,N,,18.01,23.43609106
13,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,37,MIS2,0.1,0.106934122,19,21,20,20,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_13_concentration.csv,1276.889669,1194.09841,13,0.20%,E3,N,,19.01,-26.74949551
14,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,38,MIS2,0.2,0.185768082,20,20,26,26,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_14_concentration.csv,907.528074,974.6561221,14,0.20%,E3,N,,20.01,27.25223222
15,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,39,MIS2,0.1,0.101930835,26,26,51,54,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_15_concentration.csv,1419.742363,1390.653542,15,0.20%,E3,N,,26.01,-30.17677663
16,G:\BackUp_Data\MIS2\20150225\transformed,1,E3,40,MIS2,0.2,0.198579831,51,54,,,G:\BackUp_Data\MIS2\20150225\transformed\drop_00_16_concentration.csv,940.877557,945.3527602,16,0.20%,E3,N,,51.01,36.02835587
