c0,cf,v0,vf,d,deviation,expectedvf,expectedcf
0.1,0.118308285,1301.345956,1099.961812,16,-15.9040168071006,925.023700951489,0.140682444640221
0.2,0.182147052,1079.608857,1178.063327,16,29.4739030629018,1534.81674243148,0.140682444640221
0.1,0.109082524,1536.742495,1404.693434,19,-22.4618791072575,1092.34844399388,0.140682444640221
0.2,0.180107917,976.9459492,1079.875623,17,28.0244436046057,1388.86689337597,0.140682444640221
0.1,0.106610205,1551.908707,1455.691838,17,-24.2192547388245,1103.12890209495,0.140682444640221
0.2,0.182786278,1021.597127,1117.813996,18,29.9282781639564,1452.34486024552,0.140682444640221
0.1,0.10678815,1511.514596,1417.535328,18,-24.0927677414915,1074.41593005121,0.140682444640221
0.2,0.179857494,967.9955427,1066.450013,19,27.846437741372,1376.14262415689,0.140682444640221
0.1,0.106948941,1545.244531,1449.027662,19,-23.9784741632052,1098.39186755091,0.140682444640221
0.2,0.181915647,990.2887664,1088.743237,18,29.3094155885821,1407.83559588057,0.140682444640221
0.1,0.107783821,1296.870753,1207.366689,18,-23.385024140258,921.842633824425,0.140682444640221
0.2,0.180197121,961.3632419,1062.055314,18,28.0878516582744,1366.71387017559,0.140682444640221
0.1,0.106934122,1276.889669,1194.09841,19,-23.989007815814,907.639664824918,0.140682444640221
0.2,0.185768082,907.528074,974.6561221,20,32.0478063024001,1290.17956195018,0.140682444640221
0.1,0.101930835,1419.742363,1390.653542,26,-27.5454480047767,1009.18232309001,0.140682444640221
0.2,0.198579831,940.877557,945.3527602,51,41.1546632615357,1337.59057060202,0.140682444640221
0.1,0.105936683,1330.957064,1256.370344,4.2735,-24.3968383363425,949.855698964814,0.140122027530132
0.2,0.197739627,1003.833579,1015.308459,4.2735,41.1195873236123,1432.79910617071,0.140122027530132
0.1,0.111115838,1433.81108,1290.375079,13.6752,-20.7006635868826,1023.25887319299,0.140122027530132
0.2,0.18652584,1032.520779,1107.107499,13.6752,33.1167149718055,1473.74513086883,0.140122027530132
0.1,0.104533007,1323.077363,1265.702963,12.8205,-25.3985908978362,944.232242653988,0.140122027530132
0.2,0.188212866,1099.361465,1168.210745,12.8205,34.3206841333544,1569.14866902507,0.140122027530132
0.1,0.107302004,1348.975073,1257.176033,15.3846,-23.4224583447981,962.714497340483,0.140122027530132
0.2,0.190297404,900.2291586,946.1286787,17.9487,35.8083431665152,1284.92168500262,0.140122027530132
0.1,0.106370297,1437.044215,1350.982615,15.3846,-24.0873837790234,1025.56624417312,0.140122027530132
0.2,0.183636948,1030.229276,1122.028316,15.3846,31.0550177134077,1470.47440600081,0.140122027530132
0.1,0.104281214,1257.765874,1206.128914,29.0598,-25.5782864135508,897.621805914514,0.140122027530132
0.2,0.192117643,978.8752249,1019.037305,29.0598,37.1073816061414,1397.17536515021,0.140122027530132
0.1,0.102646939,889.979872,867.0301119,35.0427,-26.7446091029999,635.146299041827,0.140122027530132
0.1,0.110062189,1451.67411,1314.16332,136,-22.1284156357195,1027.09353642155,0.141338063041241
0.2,0.194198269,1056.901649,1093.923785,111,37.3998375394001,1495.5654920665,0.141338063041241
0.1,0.104189592,1513.525662,1452.703582,89,-26.283415975781,1070.85496251521,0.141338063041241
0.2,0.175947581,1063.115175,1187.403774,89,24.4870470233205,1504.35792330024,0.141338063041241
0.1,0.130737316,1658.079113,1290.502195,0,-7.50027757076858,1173.12992503385,0.141338063041241
0.2,0.152774081,1137.928684,1444.683522,0,8.0912513675967,1610.22255366265,0.141338063041241
0.2,0.156442119,1064.82714,1347.782033,0,9.6048865977907,1492.0567257971,0.142732795823314
0.1,0.145551615,1356.210051,946.3221202,0,1.97489242778849,950.174095012347,0.142732795823315
